SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1372.15,1399.85,1372.15,1382.40,1375.40,1381.30,217,1562,2164484.00,
500003,AEGIS LOGIS ,A ,Q,185.05,199.50,185.05,198.00,198.70,186.10,498,5586,1084551.00,
500008,AMAR RAJA BA,A ,Q,642.85,666.50,642.85,646.35,646.35,646.15,482,14820,9683504.00,
500009,A.SARABHAI  ,X ,Q,11.55,11.63,11.06,11.38,11.39,11.42,28,5625,64380.00,
500010,HDFC        ,A ,Q,2147.00,2216.40,2136.60,2189.60,2186.00,2153.10,3562,261570,567154145.00,
500012,ANDHRA PETRO,X ,Q,42.00,43.45,40.25,42.05,42.05,42.05,192,23503,995601.00,
500013,ANSAL INFRAS,B ,Q,4.05,4.20,3.91,4.03,4.10,4.00,122,16156,65859.00,
500014,APPLE FINANC,XT,Q,1.33,1.33,1.33,1.33,1.33,1.33,4,544,723.00,
500020,BOM DYEING  ,A ,Q,71.90,74.75,71.00,72.80,72.35,69.75,4566,421634,30771151.00,
500023,ASIANHOTNR  ,B ,Q,87.60,94.45,87.60,91.35,91.10,88.50,17,129,11475.00,
500024,ASSAMCO     ,T ,Q,1.01,1.06,0.98,0.99,0.99,1.02,44,159828,159656.00,
500027,ATUL LTD.   ,A ,Q,3535.00,3669.95,3535.00,3638.30,3638.30,3591.25,138,485,1764544.00,
500028,ATV PROJECTS,XT,Q,3.72,3.90,3.72,3.80,3.80,3.72,24,1536,5921.00,
500029,AUTOLITE(I) ,B ,Q,22.80,24.90,22.80,23.05,23.00,23.95,8,964,22538.00,
500031,BAJAJ ELECT.,A ,Q,356.00,378.45,355.00,364.20,362.55,366.45,466,5894,2172877.00,
500032,BAJAJHIND   ,B ,Q,5.75,6.18,5.70,6.14,6.14,5.83,176,137227,826610.00,
500033,FORCE MOTR  ,A ,Q,1035.00,1069.00,1035.00,1047.90,1044.90,1045.85,717,7643,8070051.00,
500034,BAJFINANCE  ,A ,Q,3152.00,3287.85,3152.00,3268.40,3268.40,3160.75,6881,95983,310160698.00,
500038,BALRAM.CHINI,A ,Q,127.00,138.40,122.20,135.55,135.55,128.50,1045,72632,9522416.00,
500039,BANCO PROD. ,B ,Q,95.65,99.60,95.65,98.85,99.25,95.10,54,1487,145878.00,
500040,CENTURY TEXT,A ,Q,868.35,893.30,868.20,890.10,890.10,866.40,666,24560,21697501.00,
500041,BANNARI AMAN,B ,Q,1415.00,1415.00,1250.00,1259.45,1258.50,1275.20,23,63,80464.00,
